cell_lat,cell_lon,total,weekly_avg
-80.0,-150.0,1,0.0003721029130342335
-80.0,160.0,1,0.0003721029130342335
-75.0,-130.0,1,0.0003721029130342335
-75.0,-115.0,1,0.0003721029130342335
-75.0,170.0,1,0.0003721029130342335
-70.0,-180.0,17,0.006325749521581969
-70.0,-115.0,2,0.000744205826068467
-70.0,-85.0,1,0.0003721029130342335
-70.0,-80.0,1,0.0003721029130342335
-70.0,-75.0,1,0.0003721029130342335
-70.0,110.0,4,0.001488411652136934
-70.0,130.0,1,0.0003721029130342335
-70.0,165.0,1,0.0003721029130342335
-70.0,170.0,3,0.0011163087391027004
-70.0,175.0,29,0.01079098447799277
-65.0,-180.0,1,0.0003721029130342335
-65.0,-175.0,1,0.0003721029130342335
-65.0,-170.0,15,0.005581543695513501
-65.0,-165.0,39,0.014512013608335105
-65.0,-160.0,34,0.012651499043163938
-65.0,-155.0,1,0.0003721029130342335
-65.0,-75.0,1,0.0003721029130342335
-65.0,-70.0,4,0.001488411652136934
-65.0,-65.0,27,0.010046778651924304
-65.0,-60.0,67,0.02493089517329364
-65.0,-55.0,25,0.009302572825855837
-65.0,-50.0,38,0.014139910695300871
-65.0,-45.0,22,0.008186264086753136
-65.0,-40.0,16,0.005953646608547736
-65.0,-35.0,21,0.007814161173718902
-65.0,-30.0,164,0.06102487773761429
-65.0,-25.0,51,0.018977248564745905
-65.0,-20.0,16,0.005953646608547736
-65.0,45.0,1,0.0003721029130342335
-65.0,140.0,1,0.0003721029130342335
-65.0,145.0,15,0.005581543695513501
-65.0,150.0,106,0.03944290878162875
-65.0,155.0,47,0.01748883691260897
-65.0,160.0,59,0.021954071869019775
-65.0,165.0,44,0.016372528173506273
-65.0,170.0,31,0.011535190304061237
-65.0,175.0,24,0.008930469912821603
-60.0,-165.0,1,0.0003721029130342335
-60.0,-160.0,3,0.0011163087391027004
-60.0,-155.0,34,0.012651499043163938
-60.0,-150.0,21,0.007814161173718902
-60.0,-145.0,179,0.06660642143312778
-60.0,-140.0,28,0.010418881564958536
-60.0,-135.0,2,0.000744205826068467
-60.0,-130.0,120,0.04465234956410801
-60.0,-125.0,87,0.03237295343397831
-60.0,-120.0,2,0.000744205826068467
-60.0,-70.0,52,0.01934935147778014
-60.0,-65.0,16,0.005953646608547736
-60.0,-60.0,7,0.002604720391239634
-60.0,-55.0,1,0.0003721029130342335
-60.0,-50.0,2,0.000744205826068467
-60.0,-40.0,8,0.002976823304273868
-60.0,-35.0,67,0.02493089517329364
-60.0,-30.0,1726,0.642249627897087
-60.0,-25.0,227,0.084467361258771
-60.0,-20.0,40,0.014884116521369338
-60.0,-15.0,21,0.007814161173718902
-60.0,-10.0,26,0.00967467573889007
-60.0,-5.0,28,0.010418881564958536
-60.0,145.0,154,0.05730384860727195
-60.0,150.0,7,0.002604720391239634
-60.0,155.0,60,0.022326174782054006
-60.0,160.0,1,0.0003721029130342335
-60.0,175.0,1,0.0003721029130342335
-55.0,-150.0,5,0.0018605145651711672
-55.0,-145.0,1,0.0003721029130342335
-55.0,-140.0,58,0.02158196895598554
-55.0,-135.0,83,0.030884541781841378
-55.0,-130.0,30,0.011163087391027003
-55.0,-125.0,7,0.002604720391239634
-55.0,-120.0,57,0.021209866042951307
-55.0,-115.0,17,0.006325749521581969
-55.0,-80.0,6,0.0022326174782054007
-55.0,-75.0,8,0.002976823304273868
-55.0,-65.0,1,0.0003721029130342335
-55.0,-60.0,12,0.0044652349564108015
-55.0,-55.0,9,0.003348926217308101
-55.0,-50.0,14,0.005209440782479268
-55.0,-45.0,2,0.000744205826068467
-55.0,-40.0,1,0.0003721029130342335
-55.0,-35.0,13,0.004837337869445035
-55.0,-30.0,7,0.002604720391239634
-55.0,-25.0,3,0.0011163087391027004
-55.0,-20.0,1,0.0003721029130342335
-55.0,-15.0,1,0.0003721029130342335
-55.0,-10.0,6,0.0022326174782054007
-55.0,-5.0,38,0.014139910695300871
-55.0,0.0,28,0.010418881564958536
-55.0,5.0,63,0.023442483521156708
-55.0,10.0,43,0.01600042526047204
-55.0,15.0,47,0.01748883691260897
-55.0,20.0,47,0.01748883691260897
-55.0,25.0,67,0.02493089517329364
-55.0,40.0,1,0.0003721029130342335
-55.0,65.0,1,0.0003721029130342335
-55.0,70.0,14,0.005209440782479268
-55.0,105.0,1,0.0003721029130342335
-55.0,110.0,29,0.01079098447799277
-55.0,115.0,5,0.0018605145651711672
-55.0,120.0,5,0.0018605145651711672
-55.0,125.0,1,0.0003721029130342335
-55.0,130.0,4,0.001488411652136934
-55.0,135.0,79,0.02939613012970444
-55.0,140.0,71,0.026419306825430575
-55.0,145.0,7,0.002604720391239634
-55.0,150.0,1,0.0003721029130342335
-55.0,155.0,59,0.021954071869019775
-55.0,160.0,59,0.021954071869019775
-55.0,170.0,1,0.0003721029130342335
-50.0,-175.0,2,0.000744205826068467
-50.0,-155.0,1,0.0003721029130342335
-50.0,-120.0,22,0.008186264086753136
-50.0,-115.0,26,0.00967467573889007
-50.0,-105.0,2,0.000744205826068467
-50.0,-100.0,1,0.0003721029130342335
-50.0,-95.0,2,0.000744205826068467
-50.0,-90.0,5,0.0018605145651711672
-50.0,-85.0,4,0.001488411652136934
-50.0,-80.0,82,0.030512438868807144
-50.0,-75.0,27,0.010046778651924304
-50.0,-25.0,1,0.0003721029130342335
-50.0,-20.0,5,0.0018605145651711672
-50.0,-15.0,65,0.024186689347225173
-50.0,-10.0,31,0.011535190304061237
-50.0,30.0,59,0.021954071869019775
-50.0,35.0,6,0.0022326174782054007
-50.0,65.0,3,0.0011163087391027004
-50.0,70.0,1,0.0003721029130342335
-50.0,75.0,1,0.0003721029130342335
-50.0,85.0,2,0.000744205826068467
-50.0,95.0,80,0.029768233042738675
-50.0,100.0,27,0.010046778651924304
-50.0,105.0,20,0.007442058260684669
-50.0,110.0,12,0.0044652349564108015
-50.0,115.0,35,0.01302360195619817
-50.0,120.0,55,0.020465660216882838
-50.0,125.0,39,0.014512013608335105
